献艺 ||| 表演 ||| 表演 技艺 给 特定 对象 欣赏 。
口 ||| 部件 利 用具 切削 破开 ||| 计算 言谈 的 集合 单位 。
照片 ||| 图像 拍摄 ||| 经由 摄影 器材 所 拍摄 出来 的 图片 。
畏 ||| 畏 ||| 对 自己 所 不能 掌握 的 事 感到 不安 。
畏 ||| 畏 ||| 无法 承受 后 述 对象 带来 的 结果 。
畏 ||| 畏 ||| 姓 。
评估 ||| 评估 ||| 对 特定 对象 给予 评价 。
叶子 ||| 部件 毛 植物 ||| 植物 的 营养器官 之一 ， 有 叶片 ， 生于 枝干 上 ， 主要 用于 行 光合作用 与 蒸发 。
郑成功 ||| 郑成功 ||| 明朝 末年 人 ， 打败 荷兰人 ， 光复 台湾 ， 延续 明朝 。
家人 ||| 人 家庭 直系 ||| 代指 一个 家庭 中 的 所有 成员 。
家人 ||| 人 家庭 直系 ||| 家庭 中 除了 主事者 以外 的 成员 。
家人 ||| 人 家庭 直系 ||| 仆人 。
物种 ||| 类型 生物 ||| 生物 分类单位 的 一种 ， 在 属 之下 ， 为 最底层 的 分类 。
物种 ||| 类型 生物 ||| 通指 生物 种类 。
不少 ||| 不少 ||| 具有 相当 的 数量 。
不少 ||| 不少 ||| 形容 有 相当 的 数量 。
睹 ||| 感知 看 ||| 透过 视觉 来 理解 或 欣赏 。
睹 ||| 感知 看 ||| 用 眼睛 察觉 。
航空 ||| 事情 飞 飞行器 ||| 以 飞机 运输 搭载 乘客 或 货物 为 主要 业务 的 工业 ， 包括 周边 的 所有 活动 。
航空 ||| 事情 飞 飞行器 ||| 以 飞机 运输 搭载 乘客 或 货物 为 主要 业务 的 机构 。 ‘ 航空公司 ’ 的 简省 。
直立 ||| 直立 ||| 物体 垂直于 水平面 。
客观 ||| 客观 ||| 形容 不 依赖 主观 意志 或 精神 而 存在 的 。
客观 ||| 客观 ||| 形容 观点 中立 不 加上 个人 偏见 的 。
违规 ||| 违背 规矩 ||| 不 遵守 约定 或 上级 规定 的 规则 。
风格 ||| 举止 人 ||| 特定 族群 或 物品 所 表现 出来 的 共同 特质 ， 如 时代 、 民族 、 音乐 、 商品 。
婴 ||| 人 少儿 ||| 出生 到 一岁 之间 的 小孩 。
甚且 ||| 功能词 ||| 连接 两对 等 句子 ， 表示 进 一层 关系 。
翻案 ||| 否认 语文 承认 有罪 过去 ||| 改变 法律 上 的 判决 。
翻案 ||| 否认 语文 承认 有罪 过去 ||| 废除 原来 的 决议 ， 得到 不同 的 结果 。
翻案 ||| 翻案 ||| 改变 已 接受 的 评价 。
甚而 ||| 功能词 ||| 连接 语意 相似 的 词组 ， 用来 突出 最后 一项 。
甚而 ||| 功能词 ||| 表更进 一层 的 可能 关系 。
据报 ||| 功能词 ||| 具有 公权力 的 单位 接获 特定 讯息 。
入港 ||| 进入 设施 靠近 水域 终止他移 放置 船 ||| 进入 港口 。
观 ||| 设施 宗教 ||| 易经 卦 名 ， 易经 六十四 卦 之一 ， 坤 下 巽 上 。
观 ||| 设施 宗教 ||| 道教 祭祀 天地 供奉 神灵 与 举行 法事 的 场所 。
观 ||| 景象 无生物 ||| 依照 特定 立场 对 特定 对象 的 看法 或 态度 。
观 ||| 看 ||| 透过 视觉 来 理解 或 欣赏 。
观 ||| 看 ||| 仔细 察看 特定 对象 。
观 ||| 观 ||| 姓 。
敝人 ||| 人 我 ||| 代指 说话 者 。
打结 ||| 打结 ||| 比喻 烦扰 不休 ， 牵扯不清 。
打结 ||| 打结 ||| 比喻 想法 或 情绪 无法 正常 表达 或 连贯 。
打结 ||| 打结 ||| 比喻 肢体 动作 不 流畅 。
打结 ||| 打结 ||| 管 状物 缠绕 成结 而 使 通道 不 通畅 。
打结 ||| 打结 ||| 将条 状物 互相 缠绕 成结 ， 通常 有 固定 或 装饰 作用 。
打结 ||| 打结 ||| 条 状物 纠结 在 一起 。
近来 ||| 近来 ||| 说话 者 表达 从 过去 不久 到 说话 时 的 一段时间 。
图书馆 ||| 场所 整理 读物 借入 采集 读物 读 保存 读物 ||| 图书馆 的 建筑物 及 建筑物 所在 的 位置 。
图书馆 ||| 场所 整理 读物 借入 采集 读物 读 保存 读物 ||| 收藏 并 整理 各种 书籍 资料 ， 可 供 群众 阅览 参考 的 机构 。
辛 ||| 符号 知识 中国 次序 ||| 天干 的 第八位 。
辛 ||| 符号 知识 中国 次序 ||| 同类 事物 中 顺序 排 在 第八 的 。
辛 ||| 姓 ||| 姓 。
辛 ||| 符号 知识 中国 次序 ||| 代指 没有 指名 的 对象 中 的 第八个 。
辛 ||| 符号 知识 中国 次序 ||| 南宋 文学家 ， 字 幼安 ， 号稼轩 。 ‘ 辛弃疾 ’ 的 缩写 。
辛 ||| 辛 ||| 具 刺激性 且 味道 重 的 食材 。 通常 是 葱 姜蒜 。
辛 ||| 辛 ||| 辛弃疾 的 作品 。
辛 ||| 辛 ||| 形容 刺激 ， 通常 带有 灼热 感觉 的 味道 。
辛 ||| 辛 ||| 形容 食材具 刺激性 且 味道 重 的 。 通常 用于 指葱 姜蒜 。
恐惧 ||| 害怕 ||| 心中 极度 害怕 。
储存 ||| 保存 ||| 将 档案 存入 储存 装置 中 。
储存 ||| 储存 ||| 将 后述 对象 置于 并 保留 在 特定 空间 。
储存 ||| 储存 ||| 将 金钱 存在 特定 金融机构 。
未遂 ||| 经受 未达成 实现 ||| 已 着手 做 特定 事件 但 不 成功 ， 通常 用于 法律 。
河流 ||| 水域 线 ||| 汇集 而成 的 流水 ， 流经 一段 地区 后 注入 另 一 水域 中 。
河流 ||| 河流 ||| 比喻 有 特定 发展 方向 的 事件 。
苦 ||| 使动 倒霉 ||| 比喻 被 物质 匮乏 或 心里 不 舒服 的 情况 所 困扰 。 常用 ‘ 为 … 所苦 ’ 、 ‘ 苦 无 … ’ 。
苦 ||| 使动 倒霉 ||| 比喻 使 后述 对象 痛苦 、 难受 。
苦 ||| 使动 倒霉 ||| 形容 比喻 表情 或 长相 给 观者 苦命 或 无奈 的 感觉 。
苦 ||| 使动 倒霉 ||| 形容 比喻 声音 给 听者 苦命 或 无奈 的 感觉 。
苦 ||| 使动 倒霉 ||| 形容 比喻 难以 让 特定 对象 接受 ， 但 对 其 却 有 帮助 的 。
苦 ||| 勤 ||| 表 努力 并 持续 进行 后 述 困难 的 事件 。
苦 ||| 勤 ||| 表在 物质 生活 匮乏 的 情况 下 ， 努力 并 持续 进行 后 述 困难 的 事件 。
苦 ||| 感受 遭受 ||| 比喻 露出 不 情愿 或 难过 的 表情 ， 常 与 ‘ 脸 ’ 连用 。
苦 ||| 感受 遭受 ||| 形容 比喻 心理 上 感到痛苦 、 难过 的 。
苦 ||| 劫难 ||| 比喻 时间 长短 与 说话 者 的 期望 相反 。
苦 ||| 苦 ||| 比喻 说话 者 所 认为 的 物质 匮乏 或 心里 不 舒服 的 情况 。
苦 ||| 苦 ||| 像 黄连 的 味道 。
苦 ||| 苦 ||| 形容 比喻 人受 命运 影响 而 一直 忍受 物质 的 匮乏 或 心里 的 不 舒服 ， 常 与 ‘ 命 ’ 连用 。
苦 ||| 苦 ||| 形容 比喻 物质 生活 匮乏 的 。
苦 ||| 苦 ||| 形容 比喻 影响 生活 的 极端 气候 现象 。
苦 ||| 苦 ||| 形容 味道 像 黄连 的 ， 基本味觉 之一 。
苦 ||| 苦 ||| 一切 困扰 身心 的 状态 。
附近 ||| 位置 近 ||| 与 参考 对象 距离 近 的 范围 。
附近 ||| 位置 近 ||| 与 参考 时间 接近 的 范围 。
附近 ||| 位置 近 ||| 与 参考 数值 接近 的 范围 。
濒 ||| 靠近 ||| 比喻 接近 后 述 状态 而 未 完全 达到 ， 通常 是 负面 。
濒 ||| 靠近 ||| 地理 上 邻近 后 述 水体 。
濒 ||| 靠近 ||| 水域 与 陆地 交界 的 地方 。
韩国 ||| 地方 国家 亚洲 政 专 ||| 国名 ， 位于 亚洲 东北部 ， 朝鲜半岛 上 的 国家 。
韩国 ||| 地方 国家 亚洲 政 专 ||| 治理 南韩 的 政府 。
韩国 ||| 地方 国家 亚洲 政 专 ||| 韩国 的 文化 。
韩国 ||| 韩国 ||| 战国七雄 之一 ， 西元前 403 年 至 西元前 230 年 ， 韩宣子 所 建 。
民主 ||| 制度 管理 人 普通 众 政 公正 ||| 由 人民 或 人民 选出 的 代表 参与 政治 、 治理 国家 的 政治 制度 。
民主 ||| 制度 管理 人 普通 众 政 公正 ||| 形容 符合 民主 政治 原则 的 。
民主 ||| 制度 管理 人 普通 众 政 公正 ||| 由 特定 团体 成员 共同 参与 决定 事务 的 制度 。
源 ||| 部件 头 水域 ||| 河川 开始 流出 的 特定 处所 。
源 ||| 来源 物质 ||| 可以 产生 能量 的 资源 。
源 ||| 部件 头 水域 ||| 比喻 开创 或 造成 前述 对象 的 特定 对象 。
源 ||| 部件 头 水域 ||| 比喻 前述 对象 在 传递 交换 时 的 提供者 。
源 ||| 源 ||| 姓 。
毛 ||| 材料 衣物 用具 ||| 衣物 上 作为 柔软 衬里 或 表面 装饰 的 纺织品 的 毛状 纤维 。
毛 ||| 材料 衣物 用具 ||| 形容 以兽 毛 纤维 或 人造毛 纤维 制成 的 。
毛 ||| 部件 毛 动物 ||| 专指 人 除了 头发 以外 的 体毛 或 须发 。
毛 ||| 单位 商业 金融 货币 中国 ||| 计算 货币 的 单位 ， 十毛 等于 一元 。
毛 ||| 材料 衣物 用具 ||| 形容 衣物 上 的 毛状 纤维 很多 。
毛 ||| 部件 毛 动物 ||| 动 、 植物 表皮 上 所生 的 柔软 细丝 状物 。
毛 ||| 部件 毛 动物 ||| 形容 身体 特定 部位 的 体毛 很多 。
毛 ||| 部件 毛 动物 ||| 形容 头发 不 柔顺 且 干燥 的 。
毛 ||| 材料 衣物 用具 ||| 表 概略 地 。
毛 ||| 材料 衣物 用具 ||| 衣物 、 食品 等 因 高温 潮湿 所生 的 霉菌 。
毛 ||| 单位 商业 金融 货币 中国 ||| 形容 未 经过 加工 处理 的 。
毛 ||| 材料 衣物 用具 ||| 形容 内心 感到 惊恐不安 的 。
毛 ||| 材料 衣物 用具 ||| 形容 年纪 轻 、 不 成熟 的 。
毛 ||| 姓 ||| 姓 。
毛 ||| 毛 ||| 形容 比喻 因 生气 而 心情 烦躁 。
以前 ||| 过去 ||| 在 时间 参考点 之前 的 时段 。
以前 ||| 过去 ||| 早 于 特定 时间 参考点 或 事件 。
十 ||| 基数 ||| 整数 ， 为九加 一 的 总和 。
十 ||| 十 ||| 顺序 排 在 第十 。
随时 ||| 随时 ||| 表不 限于 任何 时间 。
随时 ||| 随时 ||| 表有 需要 的 时候 立即 做 后述 事件 。
两极化 ||| 两极化 ||| 形容 特定 事件 呈现出 极端 的 对立 状态 。
牧场 ||| 陆地 花草 饲养 牲畜 ||| 放养 牲畜 的 地方 。
补偿 ||| 物质 补偿 ||| 补充 不足 的 部份 ， 用于 声音 、 光线 、 色彩 等 。
补偿 ||| 物质 补偿 ||| 抵销 因 外力 影响 或 所有权 转移 而 产生 差额 的 损失 。
补偿 ||| 补偿 ||| 作为 抵销 损失 的 金额 或 等值 的 物品 。
艰 ||| 难 ||| 形容 处在 条件 不佳 的 困难 情况 下 。
艰 ||| 艰 ||| 父丧 或 母丧 的 事件 。
蚝 ||| 鱼 ||| 双壳 纲 牡蛎 科 ， 动物 产于 浅海 中 ， 肉味 鲜美 ， 营养 丰富 。
蚝 ||| 鱼 ||| 以 蚝 为 主要 食材 的 料理 。
妃 ||| 人 人 人 皇 元首 皇 小辈 直系 男 皇 女 配偶 ||| 太子 或 诸侯 的 妻子 。
妃 ||| 人 人 人 皇 元首 皇 小辈 直系 男 皇 女 配偶 ||| 君王 的 妻子 中 位阶 次 高 的 。
妃 ||| 人 人 人 皇 元首 皇 小辈 直系 男 皇 女 配偶 ||| 民间 对 所 信仰 的 女性 神明 的 称呼 。
允许 ||| 同意 ||| 以 语言文字 或 其他 行为 同意 后 述 事件 发生 。
允许 ||| 允许 ||| 接受 后 述 负面 事件 发生 而 不 干涉 。
花莲 ||| 地方 县 中国 专 ||| 治理 花莲 的 地方 政府 。
花莲 ||| 地方 县 中国 专 ||| 花莲 的 文化 。
花莲 ||| 地方 县 中国 专 ||| 位于 台湾 东部 ， 介于 宜兰县 、 台东县 之间 的 地区 。
电影院 ||| 场所 艺 展示 ||| 播放 电影 的 场所 。
电影院 ||| 场所 艺 展示 ||| 专 为 播放 电影 而建 的 建筑 。
安然 ||| 安 ||| 表 平安 且 没有 危险 。
安然 ||| 安然 ||| 形容 没有 忧虑 和 牵挂 。
公告 ||| 语文 政 正式 ||| 对 大众 宣布 的 公文 。
公告 ||| 公告 ||| 公开 向 大众 发出 具 法律效力 的 消息 。
画下道 ||| 画下道 ||| 表明 身份 地位 或 来历 。
吻 ||| 示爱 触 部件 部件 口 动物 ||| 特定 动物 的 嘴 。
吻 ||| 事情 示爱 触 部件 部件 口 动物 ||| 用 嘴 轻触 对方 以示 亲密 的 动作 。
吻 ||| 示爱 触 部件 部件 口 动物 ||| 用 嘴 轻触 对方 以示 亲密 。
辅大 ||| 辅大 ||| 辅大 的 建筑物 及 建筑物 所在 的 位置 。 ‘ 辅仁大学 ’ 的 缩写 。
辅大 ||| 辅大 ||| 台湾 私立 大学 之一 ， 位于 台北县 新庄市 。 ‘ 辅仁大学 ’ 的 缩写 。
大驾 ||| 大驾 ||| 代指 听话者 。
大驾 ||| 大驾 ||| 古代 帝王 乘坐 的 一种 轿子 。
人人 ||| 人 他 众 ||| 每个 人 。
出去 ||| 功能词 动趋 外 ||| 从 参考 位置 的 里面 移 到 参考 位置 的 外面 。
出去 ||| 功能词 动趋 外 ||| 形容 比 预期 中 的 位置 更往 外 的 。
出去 ||| 功能词 动趋 外 ||| 事件 以 主事者 或 主事者 所在 的 位置 为 起点 发生 。 常用 动词 补语 。
出去 ||| 功能词 动趋 外 ||| 比喻 正式 离开 对 主事者 产生 影响 的 团体 。
失败 ||| 输掉 ||| 形容 在 竞争 中 被 打败 。
失败 ||| 失败 ||| 形容 没有 达到 预期 的 结果 。
面面俱到 ||| 面面俱到 ||| 各 方面 都 注意 到 。
显 ||| 展示 ||| 显示 出后述 可 被 观察 的 状态 。
显 ||| 清晰 ||| 表 观察 到 的 事件 很 明确 。
显 ||| 清晰 ||| 表 事件 的 因果关系 清楚 而 必然 。
显 ||| 显 ||| 实现 本身 的 性质 或 能力 。
显 ||| 显 ||| 使 后述 对象 得到 极高 的 光荣 。
显 ||| 显 ||| 使 容易 分辨 或 看出 后 述 对象 。
显 ||| 显 ||| 形容 非常容易 观察 到 的 。
显 ||| 显 ||| 形容 特定 对象 出现 。
显 ||| 显 ||| 姓 。
饲 ||| 饲养 农 ||| 以 人工 方式 养 特定 动物 时 所 给 的 食物 。
饲 ||| 饲 ||| 以 人工 的 方式 养后述 动物 。
担任 ||| 担任 ||| 前述 对象 担任 的 职务 是 后述 职务 。
接受 ||| 接受 ||| 对 特定 对象 持 负面 态度 和 看法 ， 但 愿意 做 某种程度 的 妥协 。
接受 ||| 接受 ||| 对 特定 对象 持 正面 态度 和 看法 。
接受 ||| 接受 ||| 前述 对象 同意 参与 后述 由 其它 对象 发动 的 事件 。
接受 ||| 接受 ||| 前述 对象 为 后述 事件 的 受事者 ， 常 与 事件 名词 连用 。
接受 ||| 接受 ||| 收取 他人 所 给予 的 物品 。
舍不得 ||| 舍不得 ||| 因 爱惜 而 无法 放弃 。
清清楚楚 ||| 清清楚楚 ||| 形容 感官 上 明显 容易 辨识 。
清清楚楚 ||| 清清楚楚 ||| 形容 认知 的 内容 容易 明确 。
调 ||| 特性 地方 人 说 ||| 调 或 腔调 。
调 ||| 特性 地方 人 说 ||| 依照 特定 标准 改变 或 更动 后 述 对象 。
调 ||| 特性 地方 人 说 ||| 特定 对象 表现 出来 的 风格 特色 。
调 ||| 特性 地方 人 说 ||| 依 一定 的 比例 将 两种 以上 的 东西 混合 。
调 ||| 差遣 人 职位 ||| 更动 特定 对象 的 职位 。
调 ||| 差遣 人 职位 ||| 派遣 、 分配 安排 工作 。
调 ||| 特性 地方 人 说 ||| 对 特定 对象 持有 的 看法 。
调 ||| 类型 音乐 ||| 歌曲 或 戏曲 的 音律 。
调 ||| 类型 音乐 ||| 主音 的 高度 。
调 ||| 类型 音乐 ||| 字音 高低 升降 的 声调 。
调 ||| 特性 地方 人 说 ||| 提出 需求 以 取得 资料 。
调 ||| 调 ||| 互换 。
调 ||| 调 ||| 设法 取得 。
调 ||| 调 ||| 形容 均匀 和谐 。
调 ||| 调 ||| 依照 环境 改变 使 达到 均匀 和谐 。
天主教 ||| 知识 天主教 宗教 ||| 西方 宗教 之一 ， 信奉 耶稣 为 救世主 基督 之外 ， 奉 玛丽亚 为 圣母 。
而后 ||| 时间 将来 ||| 表晚 于 现在 或 前述 事件 的 时段 。
称得上 ||| 称得上 ||| 可以 符合 前述 对象 的 描述 内容 是 后述 对象 。
够 ||| 够 ||| 表 超过 所 预期 的 程度 ， 带有 贬义 。 常 与 ‘ 了 ’ 连用 。
够 ||| 够 ||| 表达 到 所 预期 的 程度 。
够 ||| 够 ||| 表达 到 所 预期 的 数量 。
够 ||| 够 ||| 形容 满足 ， 可以 。 常 与 ‘ 了 ’ 连用 。
建国 ||| 建立 地方 国家 政 ||| 国家 成立 。
建国 ||| 建立 地方 国家 政 ||| 建设 国家 。
此外 ||| 功能词 ||| 连接 上文 所 陈述 事件 之外 的 补充 说明 。
苏东坡 ||| 人 中国 文 专 编辑 书刊 ||| 北宋 文学家 ， 名轼 ， 字子 瞻 ， 号 东坡 居士 。
苏东坡 ||| 人 中国 文 专 编辑 书刊 ||| 苏东坡 的 作品 。
惟 ||| 功能词 ||| 表 转折 语气 ， 用来 引出 命题 和 前文 相对 的 句子 。
惟 ||| 功能词 ||| 表 只有 ， 排除 其他 对象 。
调查员 ||| 调查员 ||| 为 了解 实况 而 进行 查访 的 人 。
调查员 ||| 调查员 ||| 在 调查局 担任 调查 工作 的 人员 。
震撼 ||| 摇动 ||| 比喻 受到 极大 的 刺激 而 撼动 。
震撼 ||| 摇动 ||| 以 相当 大 的 力量 震动 摇撼 后 述 对象 。
冰雹 ||| 冰雹 ||| 空中 水蒸气 遇冷 凝结 而 降落 的 冰粒 或 冰块 。
歌 ||| 音乐 唱 ||| 有 旋律 和 词 、 可供 人 歌唱 的 音乐作品 。
歌 ||| 音乐 唱 ||| 口中 依照 旋律 发出声音 。
歌 ||| 音乐 唱 ||| 一种 诗歌 体裁 ， 属于 可以 唱 的 韵文 。
歌 ||| 歌 ||| 比喻 有关 前述 对象 能 吸引 人 的 纪录 。 常用 ‘ … 之歌 ’ 。
一心一意 ||| 一心一意 ||| 表 投入 所有 的 心思 ， 毫无保留 。
疏于 ||| 疏于 ||| 对 后述 事件 因 不 重视 而 不常 做 。
凭 ||| 功能词 ||| 身体 倾斜 ， 把 一部 份 重量 由 物体 或 他人 支撑 。
凭 ||| 功能词 ||| 以后 述 对象 为 凭借 进行 特定 事件 。
凭 ||| 功能词 ||| 引介 遵循 的 原则 。
忽视 ||| 忽视 ||| 不 给予 应有 的 重视 。
棍 ||| 物形 长 直 ||| 呈 圆柱状 细长 的 长条 器具 ， 长度 通常 短于 成人 的 身高 。
棍 ||| 物形 长 直 ||| 武术 中使 棍 的 技法 。
棍 ||| 棍 ||| 比喻 在 前述 领域 进行 不 正当行为 的 人 。
棍 ||| 棍 ||| 姓 。
戴 ||| 姓 ||| 比喻 过度 称赞 特定 对象 以 提高 其 地位 。 常 与 ‘ 高帽 ’ 连用 。
戴 ||| 姓 ||| 比喻 特定 男子 的 配偶 与 他人 交往 。 常 与 ‘ 绿帽 ’ 连用 。
戴 ||| 姓 ||| 姓 。
戴 ||| 戴 ||| 比喻 承受 特定 罪名 。
戴 ||| 戴 ||| 将 物品 放在 能 发挥 物品 功能 的 人 的 身体 特定 部位 。
戴 ||| 戴 ||| 将 物品 系挂 在 身上 。
热中 ||| 热中 ||| 十分 爱好 并 全心投入 。
当上 ||| 当上 ||| 获得 后 述 身分 。
日渐 ||| 渐进 时间 日 ||| 表随 日 递增 或 递减 的 变化 。
教给 ||| 教给 ||| 指导 、 传授 知识 技能 或 适当 的 行为 给 后述 对象 。
洗衣服 ||| 洗衣服 ||| 以水 或 清洁剂 去掉 衣物 上 的 污垢 。
打定 ||| 打定 ||| 明确 地 决定 后 述 事件 。
主动 ||| 主动 ||| 形容 不需 其他 外力 推动 就 开始 做 特定 事件 。
找出 ||| 寻 达成 ||| 搜寻 到 需要 的 后述 对象 ， 强调 动作 的 结果 。
找出 ||| 寻 达成 ||| 比喻 努力 寻找 追求 过后 ， 得到 后 述 对象 ， 强调 动作 的 结果 。
候 ||| 候 ||| 节气 中 的 特定 时段 。
候 ||| 候 ||| 可 推断出 特定 事件 的 现象 。
候 ||| 候 ||| 利用 特定 现象 来 预测 吉凶祸福 。
候 ||| 候 ||| 维持 现有 状态 ， 直到 所 期望 的 对象 或 情况 出现 。
大众 ||| 人 普通 众 ||| 代指 大多数 的 人 。
大众 ||| 人 普通 众 ||| 代指 具有 共同 属性 的 很多 人 。
比喻 ||| 词语 比拟 ||| 比喻 的 内容 。
比喻 ||| 比喻 ||| 拿 比较 熟悉 的 事物 来 描述 、 解释 另 一 事件 。
教授 ||| 人 职位 教育 高等 教 场所 教育 高等 ||| 任教于 大学 及 专科 以上 学校 的 教师 ， 包括 助理 教授 与 副教授 。
教授 ||| 人 职位 教育 高等 教 场所 教育 高等 ||| 任教于 大学 及 专科 以上 学校 获得 正 教授 资格 的 教师 。
教授 ||| 人 职位 教育 高等 教 场所 教育 高等 ||| 指导 、 传授 知识 技能 或 适当 的 行为 。
值班 ||| 值班 ||| 在 轮 到 自己 工作 的 时间 内去 工作 。
银行 ||| 场所 金融 留存 货币 取回 货币 借入 货币 ||| 银行 的 建筑物 及 建筑物 所在 的 位置 。
银行 ||| 银行 ||| 比喻 提供 储存 和 取用 前述 对象 的 服务 的 机构 。
银行 ||| 银行 ||| 比喻 提供 储存 和 取用 前述 对象 的 服务 的 机构 的 建筑物 及 建筑物 所在 的 位置 。
银行 ||| 银行 ||| 经营 各种 金融业务 的 机构 。
并 ||| 功能词 ||| 表 加强 否定 的 语气 ， 通常 与 预设 知识 相反 。
并 ||| 功能词 ||| 连接 两对 等 句子 ， 表示 进 一层 关系 。
位处 ||| 位处 ||| 位于 后 述 状态 。
位处 ||| 位处 ||| 位置 在 后述 地点 。
眼前 ||| 时间 此刻 ||| 说话 者 所在 的 时间 参考点 。
眼前 ||| 眼前 ||| 比喻 生动 记忆 影像 出现 的 地方 。
眼前 ||| 眼前 ||| 视线 所 看 得到 的 地方 。
眼前 ||| 眼前 ||| 眼睛 看到 的 景象 。
捧场 ||| 捧场 ||| 亲自 到 现场 参与 ， 表达 支持 。
捧场 ||| 捧场 ||| 以 欣赏 或 使用 的 方式 表达 支持 。
走来走去 ||| 走 来回 ||| 在 特定 范围 内 不停 地 来回 走 。
航太 ||| 航太 ||| ‘ 航空 和 太空 ’ 的 简省 。
聊天 ||| 谈话 ||| 在 轻松 的 情况 下 ， 没有 特定 主题 或 目的地 交谈 。
蠢 ||| 蠢 ||| 形容 对 可 理解 的 事 未能 及时 反应 。
蠢 ||| 蠢 ||| 形容 较差 的 、 不能 最快 达到 目的 的 ， 通常 用于 方法 。
蠢 ||| 蠢 ||| 形容 使用 特定 对象 的 技巧 不佳 的 。
蠢 ||| 蠢 ||| 形容 特定 对象 看起来 缺乏活力 或 创新 。
蠢 ||| 蠢 ||| 形容 肢体 动作 不 协调 的 。
蠢 ||| 蠢 ||| 形容 智能 较 低 或 理解力 较差 的 。
茶 ||| 树 生殖 部件 饮品 毛 树 ||| 茶树 的 嫩叶 烘焙 后 ， 用来 制作 饮料 的 材料 。 ‘ 茶叶 ’ 的 缩写 。
茶 ||| 饮品 部件 饮品 毛 树 ||| 以 前述 除了 茶叶 以外 的 原料 沏成 或 煮成 的 饮料 。
茶 ||| 饮品 部件 饮品 毛 树 ||| 用 茶叶 沏成 或 煮成 的 饮料 。
茶 ||| 饮品 部件 饮品 毛 树 ||| 形容 加入 茶叶 制成 的 。
茶 ||| 饮品 部件 饮品 毛 树 ||| 山茶 科茶 属 ， 嫩叶 可焙 制成 各种 饮料 ， 种子 可 榨油 供 食用 。
上去 ||| 功能词 动趋 上 ||| 置于 动词 之后 ， 表示 进行 前述 具有 趋向性 的 动作 。
上去 ||| 功能词 动趋 上 ||| 往 高处 移动 。
优势 ||| 利 状况 实体 事件 ||| 有利 的 形势 或 环境 。
佳 ||| 优质 ||| 五等 第 成绩 中 的 第三 等 ， 在良 之下 ， 可 之上 。
佳 ||| 佳 ||| 形容 对 特定 对象 的 评价 是 正面 的 。
佳 ||| 佳 ||| 姓 。
过份 ||| 过份 ||| 表 程度 过高 。
过份 ||| 过份 ||| 形容 超过 预期 的 评价 。
碍 ||| 阻止 ||| 妨碍 特定 事件 进行 使 其 不 顺利 。
碍 ||| 碍 ||| 心中 挂念 且 致使 无法 进到 更 高 境界 的 特定 对象 。
轮流 ||| 轮流 ||| 表 依照 顺序 交换 做 后述 事件 。
喔 ||| 喊 禽 ||| 形容 鸡 的 叫声 。
喔 ||| 喔 ||| 表 回应 以 确认 听到 对方 的话 。
喔 ||| 喔 ||| 表 亲密 的 口气 ， 以 求得 听话者 的 认同 。
喔 ||| 喔 ||| 表 提醒 的 语气 。
喔 ||| 喔 ||| 表无义 发语词 。
喔 ||| 喔 ||| 表 再次 寻求 确认 的 语气 。
喔 ||| 喔 ||| 代替 停顿 的 语气词 。
棵 ||| 名量 植物 ||| 计算 有 明显 主干 植物 的 单位 。
大楼 ||| 房屋 ||| 楼层 较 多 、 体积 较大 的 房屋 。
改善 ||| 改善 ||| 改变 原本 的 状态 以 达到 更好 的 状态 。
夕 ||| 时间 夜 ||| 太阳 开始 下山 到 天黑 前 的 时间 。
夕 ||| 时间 夜 ||| 太阳 下山 后 到 太阳 出来 前 的 时间 。
下旬 ||| 下旬 ||| 一个月 最后 的 十天 。
举行 ||| 管理 事情 ||| 进行 特定 正式 活动 。
沿岸 ||| 陆地 靠近 水域 ||| 陆地 和 水域 相接 的 范围 。
吵架 ||| 吵架 ||| 以 言语 相斗 。
膛 ||| 部件 部件 身 动物 ||| 胸部 表面 外型 的 部分 。
膛 ||| 部件 部件 身 动物 ||| 整个 胸部 ， 包括 内部 器官 等 。
膛 ||| 部件 脏 物质 ||| 比喻 物体 内 的 中空 部份 。
钏 ||| 用具 穿戴 装饰 ||| 配戴 于 手腕 或 手臂 上 的 环状 饰品 。
钏 ||| 钏 ||| 姓 。
桃园县 ||| 桃园县 ||| 位于 台湾 西北部 ， 介于 台北县 和 新竹县 之间 的 县 。
正统 ||| 正宗性 群体 人 ||| 君主 时代 经过 认可 的 相承 系统 。
正统 ||| 正统 ||| 经过 认可 的 继承 派系 。
正统 ||| 正统 ||| 形容 符合 认可 标准 的 。
跨 ||| 越过 ||| 超出 规定 的 权限 或 原则 ， 专指 抽象概念 。
跨 ||| 越过 ||| 超出 规定 的 限度 范围 ， 专指 具体 规定 。
跨 ||| 越过 ||| 特定 建筑物 横越 特定 地理 区域 以 连接 两个 不 相邻 的 地点 。
跨 ||| 越过 ||| 以脚 越过 障碍物 。
跨 ||| 坐蹲 ||| 以 两腿 分别 在 特定 物体 两边 的 姿势 坐 或 站 在 特定 物体 上 。
跨 ||| 跨 ||| 比喻 从 旧 的 时间 单位 过渡 到 新 的 时间 单位 。
跨 ||| 跨 ||| 比喻 事件 范围 涵盖 两个 以上 的 后述 对象 。
跨 ||| 跨 ||| 比喻 事件 时间 范围 涵盖 特定 时段 ， 通常 时间 较长 。
